,P_resultante,P_sc,P_pv,Tiempo [m]
398,4.3899959999999965,-4.000000003223647e-06,4.39,0.6633333333333333
399,4.3899959999999965,-4.000000003223647e-06,4.39,0.665
400,4.3899959999999965,-4.000000003223647e-06,4.39,0.6666666666666666
401,4.3899959999999965,-4.000000003223647e-06,4.39,0.6683333333333333
402,4.3899959999999965,-4.000000003223647e-06,4.39,0.67
403,4.3899959999999965,-4.000000003223647e-06,4.39,0.6716666666666666
404,4.3899959999999965,-4.000000003223647e-06,4.39,0.6733333333333333
405,4.3899959999999965,-4.000000003223647e-06,4.39,0.675
406,4.3899959999999965,-4.000000003223647e-06,4.39,0.6766666666666666
407,4.3899959999999965,-4.000000003223647e-06,4.39,0.6783333333333333
408,4.3899959999999965,-4.000000003223647e-06,4.39,0.68
409,4.3899959999999965,-4.000000003223647e-06,4.39,0.6816666666666666
410,4.3899959999999965,-4.000000003223647e-06,4.39,0.6833333333333333
411,4.3899959999999965,-4.000000003223647e-06,4.39,0.685
412,4.3899959999999965,-4.000000003223647e-06,4.39,0.6866666666666666
413,4.3899959999999965,-4.000000003223647e-06,4.39,0.6883333333333334
414,4.3899959999999965,-4.000000003223647e-06,4.39,0.69
415,4.3899959999999965,-4.000000003223647e-06,4.39,0.6916666666666667
416,4.3899959999999965,-4.000000003223647e-06,4.39,0.6933333333333334
417,4.3899959999999965,-4.000000003223647e-06,4.39,0.695
418,4.3899959999999965,-4.000000003223647e-06,4.39,0.6966666666666667
419,4.3899959999999965,-4.000000003223647e-06,4.39,0.6983333333333334
420,4.3899959999999965,-4.000000003223647e-06,4.39,0.7
421,4.3899959999999965,-4.000000003223647e-06,4.39,0.7016666666666667
422,4.3899959999999965,-4.000000003223647e-06,4.39,0.7033333333333334
423,4.3899959999999965,-4.000000003223647e-06,4.39,0.705
424,4.3899959999999965,-4.000000003223647e-06,4.39,0.7066666666666667
425,4.3899959999999965,-4.000000003223647e-06,4.39,0.7083333333333334
426,4.3899959999999965,-4.000000003223647e-06,4.39,0.71
427,4.3899959999999965,-4.000000003223647e-06,4.39,0.7116666666666667
428,4.3899959999999965,-4.000000003223647e-06,4.39,0.7133333333333334
429,4.388835999999997,-4.000000003223647e-06,4.38884,0.715
430,4.375405999999996,-4.000000003223647e-06,4.37541,0.7166666666666667
431,4.361975999999997,-4.000000003223647e-06,4.36198,0.7183333333333334
432,4.348535999999997,-4.000000003223647e-06,4.34854,0.72
433,4.335105999999997,-4.000000003223647e-06,4.33511,0.7216666666666667
434,4.3216759999999965,-4.000000003223647e-06,4.32168,0.7233333333333334
435,4.308245999999997,-4.000000003223647e-06,4.30825,0.725
436,4.299995999999997,-4.000000003223647e-06,4.3,0.7266666666666667
437,4.299995999999997,-4.000000003223647e-06,4.3,0.7283333333333334
438,4.299995999999997,-4.000000003223647e-06,4.3,0.73
439,4.299995999999997,-4.000000003223647e-06,4.3,0.7316666666666667
